GL_ID,Basin,Sub_Basin,Area,growth_rate,pct_growth,volatility,mean_area_m2,max_area_m2,z_score,peer_group,risk_class,n_months,deseasonalized,insufficient_peers
GL081572E30378N,Karnali,Humla,0.332366748042,7176.155104717578,171.75532534066642,30501.316642958744,102319.65198871962,172920.72618865967,8.854469856848965,Humla,High,13,False,False
GL087092E27798N,Koshi,Arun,1.88589203734,8614.923591916242,110.08869288158458,77733.53009711305,371582.58226790174,478997.7147325403,6.90231669220386,Arun,High,13,False,False
GL086958E27755N,Koshi,Dudh Koshi,0.863272929746,11272.09649529684,169.4375677433185,136676.36831301957,384316.5859936054,532917.6683063284,6.435354838275308,Dudh Koshi,High,13,False,False
GL087805E27881N,Koshi,Tamor,0.391253460598,2610.246825096756,129.64102299513104,29662.060611531502,94323.6053206615,139500.22262998094,5.946633493578377,Tamor,High,13,False,False
GL086957E27783N,Koshi,Dudh Koshi,0.868498010332,9674.212242933372,69.74231557224559,50675.00647953935,237714.06746765875,322985.05610587925,5.478203187552952,Dudh Koshi,High,13,False,False
GL086447E27946N,Koshi,Tama Koshi,1.71974297686,5409.373635966185,39.83574332107664,101001.69813147983,305660.62999261596,415376.6974636304,5.166639132079596,Tama Koshi,High,13,False,False
GL086476E27861N,Koshi,Tama Koshi,1.60479225154,5237.491504597213,28.772270320686953,148550.3747682427,816073.2968698723,970424.666966966,4.993609074899869,Tama Koshi,High,13,False,False
GL085519E28467N,Gandaki,Trishuli,0.453916544601,3144.936626066914,404.87802849524473,30705.34352748477,76588.17322610249,111147.17390441896,4.65713677345947,Trishuli,High,13,False,False
GL087046E28068N,Koshi,Arun,0.872246573177,5566.873999231718,146.0756160686409,50506.02077771077,151426.1793891642,236354.21552501005,4.394798979659828,Arun,High,13,False,False
GL082866E28818N,Karnali,Bheri,0.18299245845,1598.0748586918103,72.1149060963477,12323.702628552332,36156.36207117739,57705.02770233154,4.305580717339004,Bheri,High,13,False,False
GL082337E29703N,Karnali,Mugu,0.120515805848,1955.2722298646584,21.577141800538193,17832.550769867663,31213.27975665017,61673.84181862626,4.018854637978952,Mugu,High,13,False,False
